Id,Time
2,25.829815
10,35.291873
11,17.917422
24,425.408726
25,84.096046
45,523.110787
46,276.242693
123,77.574076
124,130.550092
145,95.414518
146,599.913958
176,58.603937
177,0.428136
182,46.886092
183,912.144585
198,257.070474
199,96.256982
250,19.620404
251,2846.912327
261,2.476168
262,21.549806
263,44.675635
264,405.895593
391,47.292551
392,4.633883
414,0.317477
415,115.78579
419,366.596514
420,12.316187
421,21.44834
432,2732.014245
433,78.137823
434,38.653511
435,138.752263
450,62.199478
451,4.887885
462,16.107769
463,48.351802
464,3363.899885
493,65.719166
494,155.643888
495,78.40718
496,47.685531
509,224.387044
510,32.158637
511,491.998834
512,271.483622
557,37.775077
558,41.474447
572,1492.132812
573,56.609871
576,45.721323
577,193.358587
578,67.716936
587,1382.972164
588,240.206946
589,39.61457
590,32.519177
614,67.488616
615,16.548758
622,1.363398
623,1027.051263
652,70.997805
653,269.345698
667,6.379805
668,272.408633
669,16.387376
683,1558.362155
684,92.234615
685,188.934478
693,57.300734
694,34.294173
695,33.554874
704,8.972224
705,36.688112
717,652.693989
718,252.459053
719,148.515481
734,213.370927
735,82.126271
736,44.574512
767,65.476831
768,58.78892
769,222.630429
770,1727.345202
802,16.836965
803,102.308646
804,63.023319
805,128.973355
806,155.857375
851,689.292213
852,147.490226
853,649.31156
854,0.298941
891,248.947556
892,465.217055
928,66.334106
929,23.317107
930,127.398084
960,256.496168
