Id,Time
2,30
10,5
11,20
24,210
25,240
45,2880
46,90
123,120
124,70
145,60
146,480
176,90
177,30
182,10
183,330
198,420
199,60
250,30
251,4320
261,20
262,20
263,60
264,240
391,10
392,90
414,60
415,150
419,180
420,30
421,20
432,4320
433,60
434,45
435,105
450,40
451,30
462,30
463,20
464,5760
493,15
494,110
495,90
496,20
509,90
510,120
511,390
512,330
557,60
558,60
572,570
573,60
576,10
577,120
578,10
587,2880
588,120
589,30
590,60
614,180
615,20
622,20
623,180
652,45
653,105
667,60
668,110
669,20
683,4320
684,90
685,4320
693,20
694,45
695,60
704,40
705,20
717,360
718,180
719,180
734,120
735,300
736,20
767,120
768,90
769,120
770,2880
802,90
803,60
804,5
805,180
806,120
851,300
852,90
853,180
854,60
891,120
892,180
928,150
929,25
930,60
960,180
