@relation ChallengeABData12Testweka.filters.unsupervised.attribute.RemoveR12

@attribute ﻿Shape_Length numeric
@attribute X numeric
@attribute Y numeric
@attribute completionTime numeric

@data
5594.724404,174.083282,39.287822,270
4044.750326,169.258881,44.428023,420
2659.286116,168.092493,44.799972,200
4651.883408,168.637745,45.019637,600
3619.967098,168.073669,44.830172,660
12791.54386,175.434675,40.624988,840
12803.32642,175.526895,40.551229,780
11579.62589,167.459286,45.835736,630
57544.15386,167.242204,46.242701,6180
4310.939605,168.103373,44.701088,1080
8911.418456,175.782018,37.499009,480
15759.75604,172.563669,41.523287,480
10399.49809,175.446205,40.90177,78
905.259396,168.710589,45.326534,85
20384.36035,169.749292,44.35532,2160
13444.58245,175.689982,37.056499,2160
26806.8167,175.078202,37.95829,2160
13385.00574,175.127825,37.98135,2160
24941.00978,175.892831,39.150284,2160
15478.15126,168.629884,44.493628,2160
4387.660379,168.389648,44.843248,2160
3222.047277,174.792314,36.505694,2160
10808.62116,168.94002,45.016815,2160
2710.364696,175.081324,40.879059,2160
3027.133188,176.883435,39.481932,60
813.033133,171.74313,43.19644,60
1699.139854,171.261687,42.40843,60
19048.16548,169.193467,44.495988,60
2570.670601,175.471081,40.904241,60
1637.199197,170.178554,43.415841,60
2462.407093,172.250399,43.198676,60
1093.080581,173.958973,35.220341,60
1479.670194,169.704421,46.503775,60
1331.310221,175.724228,37.427025,60
1520.406158,177.13439,38.801546,60
3348.688945,173.196224,35.032715,60
1800.777645,173.564366,35.656772,60
1660.45584,175.779966,39.809901,60
2415.457998,175.243478,38.534205,60
1313.942264,174.936643,41.345646,60
2906.446714,176.18702,38.127547,60
1793.448185,177.119788,38.344263,60
732.428721,176.572908,43.761778,60
1640.837209,168.173979,46.971251,60
1696.989448,175.163979,38.524621,60
4212.215412,173.743015,41.128311,60
1112.902843,170.588759,45.757727,60
1334.950782,174.083392,35.289015,60
1446.18146,173.791274,35.211012,60
1590.882815,172.861803,40.881495,60
1539.580717,175.716165,38.565411,60
2024.435791,176.020205,40.124957,60
6581.277382,176.091622,38.651955,60
3456.269258,174.475884,35.861832,60
2165.982885,176.726126,38.669068,60
2444.081838,168.720757,45.319567,60
811.209813,170.455389,45.920678,60
1314.581559,174.540706,35.611549,60
1310.65534,175.968814,38.883153,60
3351.968953,174.281651,35.253694,60
1662.312478,175.425526,36.243291,60
685.077638,171.324149,42.434374,60
1207.195197,175.148006,37.967949,60
3421.535853,175.998206,39.020721,80
1529.82184,170.1661,43.384607,90
5024.440889,175.129978,37.968716,90
4496.859226,176.382748,37.753143,75
3200.259742,171.459206,41.765011,75
2829.035645,175.912385,37.892557,75
3493.115493,175.093954,38.260969,75
2485.150805,170.187288,43.393405,80
3714.458289,172.694503,43.716335,80
4557.861652,172.551864,40.634096,80
1830.543523,170.201516,43.387143,80
1864.986843,175.503155,39.330399,80
8729.446131,174.107831,39.316817,80
1706.756362,172.940216,40.838768,80
2068.743095,173.53142,35.613681,80
2617.337136,174.09173,39.274162,90
3420.027343,169.146338,45.077094,90
5556.543874,176.329267,38.187429,90
3509.844119,169.344465,44.120615,90
3219.655421,170.608004,45.894094,90
1967.638846,174.936556,41.343213,90
2575.691201,170.170762,43.43359,90
1401.474524,170.675745,45.603043,90
3001.665476,176.497785,38.03409,90
4178.762301,173.952251,35.216866,90
1195.007303,168.816888,45.059869,90
3579.641885,169.970114,43.446986,90
1779.514697,170.172469,43.407653,90
742.12362,170.64844,45.755952,90
2553.998415,174.437713,35.787241,90
4399.689845,169.161575,44.692078,90
2690.014668,171.179872,43.983654,90
2629.400057,176.014874,38.736196,90
4891.665276,174.529499,35.854647,90
2104.215157,175.961235,38.697811,90
941.320741,174.979872,38.072686,90
10256.44346,175.807633,39.166611,90
3527.871843,176.316866,38.188637,90
10677.84687,169.189216,44.676738,105
432.157044,176.283287,39.964954,105
4850.994031,174.422958,35.43504,105
2351.410813,175.734058,36.744436,105
3408.967142,176.555991,43.852168,105
10550.88909,174.953692,41.349277,105
4084.883551,174.629215,36.361346,105
3764.403177,175.97851,37.797371,105
4520.67917,175.44973,40.902876,105
2784.630441,168.57986,45.063077,105
3786.092783,173.467028,35.508721,105
3499.480565,174.1075,39.31797,105
3105.242282,174.989888,41.333022,105
2529.837539,174.715042,36.307139,105
2453.599699,176.01538,39.956022,105
1887.201153,174.972767,39.274488,105
1929.69533,175.799053,36.833353,105
1456.714926,176.220661,40.90463,105
3107.470063,170.959645,44.666907,105
1499.878123,175.488703,36.758047,105
2847.839102,168.547065,45.055855,105
573.315182,170.638781,45.893582,105
4331.692699,174.413162,35.44561,105
1747.25978,174.352711,35.928459,105
4014.430804,176.017711,39.985991,105
8080.601307,173.555991,35.746185,105
5309.244224,175.525954,36.735994,105
4991.564867,168.321956,44.715347,100
3569.134806,173.298376,42.897841,105
3432.070434,175.771202,37.317907,105
5227.425548,171.227776,42.38512,105
6113.189223,174.44655,36.45021,105
587.172263,174.134748,35.892819,65
3808.872839,173.943753,34.997925,110
2306.367613,169.624462,44.378172,60
4399.801591,175.736485,37.427996,60
1243.332956,170.356162,44.64319,60
2102.553963,170.962,44.626514,60
2717.697436,173.850628,34.994486,60
2527.673089,174.812052,36.827561,60
7121.889574,173.725754,35.194784,60
2925.594244,175.366819,36.167392,60
2688.623341,169.872539,44.369277,60
1841.243254,170.163227,43.698027,60
753.804929,169.276287,44.164198,60
329.691574,167.156411,45.463651,60
1466.475232,171.244288,43.905564,60
663.448476,171.560953,42.935233,60
1415.750173,170.037543,43.489835,60
1409.032307,172.525663,43.147213,60
970.70192,175.137101,37.662708,60
4257.113084,172.336309,43.184036,90
8349.120626,173.321306,41.567918,60
22504.97753,171.378207,42.289944,2160
22265.33349,175.381654,37.382692,2160
8541.816468,177.084211,38.792168,2160
4937.509983,177.305354,38.343942,2160
2679.396934,168.498223,45.073051,90
1524.476394,173.302923,42.864929,90
4724.552232,167.684289,45.420796,120
8815.516167,176.419451,39.178125,2160
14190.83666,172.038255,43.224526,2160
847.945008,167.542504,45.574698,105
1653.258903,173.412972,34.821654,90
1591.144955,176.69384,38.672906,90
4406.891394,167.536345,45.79223,90
2606.857454,172.389368,42.379685,90
1742.938067,176.189416,38.124013,90
20736.32701,169.43331,44.341489,660
228.156586,170.979941,45.121842,15
11355.99745,174.971915,41.34014,600
15823.86251,167.233984,46.104265,600
15138.02442,167.339704,46.12135,600
14098.2837,173.534157,35.532083,600
384.148629,170.826236,45.346313,10
4344.599678,168.628229,46.555003,65
379.285702,172.678853,34.428065,10
586.56089,173.533952,35.609472,10
594.717484,173.835274,40.926076,10
599.219641,172.600785,40.553064,10
59.100195,173.628242,35.234824,10
208.282912,173.380355,34.967306,10
225.475259,171.192469,42.647555,10
143.563654,174.866523,41.255969,10
183.425736,168.010272,45.029872,10
276.577581,173.830112,42.244223,10
116.099977,175.723153,39.647959,10
718.069786,170.113196,46.001617,10
741.214239,167.713095,45.430106,10
4115.832717,174.069329,41.205181,35
10599.10816,173.20143,42.094203,65
2700.667084,170.904751,42.791258,20
20367.52221,174.041496,41.368748,275
2865.77364,176.086357,38.658928,65
6771.845557,176.110799,38.628673,65
1426.186743,175.232514,40.646553,15
757.870597,174.898991,37.907699,15
3044.91772,175.423862,36.175811,95
7210.901524,171.207343,43.481082,60
3102.162016,173.779795,41.267705,70
570.601339,173.860941,42.215284,10
246.126518,173.942699,35.214249,10
452.642071,172.90087,41.032832,10
198.785612,173.562458,35.673319,10
348.833726,174.111633,35.284448,10
81.690257,173.857523,35.715147,10
137.869322,176.346294,38.175303,10
21858.26064,169.072869,44.722126,630
15365.14878,168.66593,44.463917,690
21310.19161,175.449172,40.881012,720
20543.11825,175.04735,41.318675,720
22946.86094,173.634932,35.571016,720
10707.33554,174.726417,38.460052,840
1500.968132,169.437736,46.579576,23
274.102216,169.410963,44.935836,15
176.019142,172.595774,41.795853,15
631.219432,175.10037,39.913177,15
609.422979,171.018026,42.955987,15
265.195776,174.205583,36.101686,15
285.833325,173.799782,35.19879,15
310.083959,174.166833,35.231833,15
514.51369,174.11677,35.254812,15
672.52097,175.66148,38.648026,15
1362.962096,175.623521,36.720969,15
405.583912,173.972534,41.189484,35
1004.34956,177.959861,38.596339,35
15962.11912,176.246676,37.800157,15
532.198482,173.368882,35.535505,15
432.05117,174.11984,35.243857,15
221.775843,174.86861,38.39478,15
879.934023,175.816657,40.339706,23
1306.951378,174.045518,35.191977,23
445.51052,174.121709,39.306651,23
9112.758816,170.053052,44.551721,95
5355.20372,172.729844,40.854566,110
31680.65758,171.692142,43.095396,2169
34817.02606,169.513451,44.358808,2169
50184.49056,175.059448,39.207301,2169
23692.26536,171.616555,42.884004,2169
24114.61161,177.278149,38.413661,2169
20785.82955,174.052466,39.263676,2169
27235.40859,171.681027,42.877332,2169
14357.25272,175.814981,39.008664,150
2456.580522,176.020756,40.113454,150
7182.795558,168.801464,44.979611,150
4897.245761,168.566842,45.004504,150
2161.883617,175.877947,40.18708,150
4191.582229,176.007524,39.897251,150
5253.591486,176.183022,39.792327,150
3406.462739,175.549911,39.072149,150
7085.177978,175.13364,37.975785,150
7347.547056,174.798374,37.868981,150
7281.561448,174.126152,35.882995,150
7260.622087,176.255891,39.669321,150
4047.873045,176.300688,39.627293,150
6037.848708,171.438802,42.263274,150
9829.441473,174.118033,35.868631,150
10064.11416,168.421033,44.851525,150
1691.394418,167.146088,45.469043,150
3539.196513,175.25778,38.070711,150
3647.234821,170.869203,44.433313,150
42031.77798,171.272982,42.858702,4320
78581.5092,176.207756,39.031802,4320
3084.982809,168.331068,44.824082,180
344.817084,168.548189,45.066755,180
2596.396968,175.236517,41.44828,180
11802.6525,171.545676,42.944997,2880
9187.601994,172.040289,43.192033,2880
45975.23511,169.435318,44.528134,2880
15289.57149,171.513901,43.000999,2880
40630.72832,171.79335,42.993007,2880
18463.47308,172.687686,41.233546,2880
6119.335294,170.464692,43.244978,2880
31941.65681,171.366957,43.607106,2880
23834.83814,173.423693,41.481157,2880
22819.93446,173.297923,41.546497,2880
13088.74151,176.026215,39.899844,2880
25501.85756,172.682622,41.192383,2880
28176.66192,171.443393,42.849924,2880
22622.30352,172.172575,43.075223,2880
21580.57956,173.738208,35.230123,2880
34560.65175,169.856723,43.656887,2880
3584.226633,171.558994,42.921434,160
4049.057185,178.30843,38.231307,120
